nk,78370
nl,7514
nm,1261
nn,20549
no,127330
np,2208
nq,305
nr,921
ns,100707
nt,257972
nu,22145
nv,5870
nw,784
nx,1894
ny,48575
nz,2119
oa,15187
ob,31832
oc,62516
od,98326
oe,20882
of,18469
og,38180
oh,6948
oi,69942
oj,418
ok,41800
ol,111320
om,144823
on,421078
oo,130758
op,100136
oq,278
or,255922
os,113365
ot,127413
ou,221272
ov,42313
ow,99566
ox,5605
oy,8624
oz,1535
pa,124528
pb,319
pc,2531
pd,1251
pe,157541
pf,3197
pg,170
ph,16215
pi,50654
pj,108
pk,273
pl,88362
pm,11118
pn,1439
po,97664
pp,61385
pq,7
pr,123860
ps,27392
pt,33425
pu,27076
pv,64
pw,138
px,68
py,9882
pz,57
qa,51
qb,6
qc,9
qd,6
qe,35
qf,5
qg,4
qh,2
qi,42
qj,5
qk,2
ql,10
qm,4
qn,19
qo,7
qp,5
qq,1
qr,11
qs,19
qt,16
qu,33048
qv,21
qw,7
qx,6
qy,6
qz,3
ra,214957
rb,3259
rc,21636
rd,51610
re,501466
rf,8602
rg,23953
rh,35222
ri,190065
rj,36
rk,51211
rl,17545
rm,38464
rn,37374
ro,153686
rp,6450
rq,45
rr,45472
rs,141863
rt,116356
ru,45835
rv,8431
rw,4885
rx,954
ry,103614
rz,31
sa,81452
sb,6960
sc,38252
sd,3260
se,283201
sf,2137
sg,894
sh,71029
si,167100
sj,1053
sk,22925
sl,20758
sm,11366
sn,21903
so,154339
sp,44499
sq,1159
sr,1493
ss,119748
st,376316
su,104170
sv,113
sw,24065
sx,42
sy,26939
sz,153
ta,184355
tb,1536
tc,20728
td,555
te,316314
tf,1405
tg,218
th,310205
ti,360827
tj,55
tk,193
tl,36841
tm,18076
tn,2273
to,153646
tp,4327
tq,1
tr,129275
ts,97129
tt,88047
tu,50565
tv,857
tw,15191
tx,17155
ty,39416
tz,761
ua,26428
ub,13529
uc,62277
ud,13380
ue,59041
uf,9691
ug,82539
uh,726
ui,21236
uj,42
uk,785
ul,129881
um,64480
un,105418
uo,813
up,42771
uq,29
ur,117413
us,135051
ut,59157
uu,376
uv,687
uw,31
ux,2759
uy,5531
uz,1058
va,19418
vb,19
vc,54
vd,216
ve,266542
vf,21
vg,24
vh,30
vi,48247
vj,16
vk,3
vl,65
vm,144
vn,104
vo,10916
vp,22
vq,2
vr,148
vs,683
vt,130
vu,260
vv,62
vw,14
vx,5
vy,1279
wa,110627
wb,908
wc,90
wd,525
we,121953
wf,1731
wg,141
wh,20001
wi,42905
wj,15
wk,704
wl,3990
wm,65
wn,6325
wo,140467
wp,111
wq,8
wr,13366
ws,9643
wt,505
wu,123
wv,156
ww,7451
wx,3
wy,543
wz,10
xa,14612
xb,2
xc,5952
xd,102
xe,7620
xf,57
xg,7
xh,1786
xi,6325
xj,9
xk,2
xl,55
xm,97
xn,8
xo,1572
xp,17890
xq,3
xr,1453
xs,164
xt,15072
xu,217
xv,5
xw,10
xx,727
xy,1024
xz,7
ya,5296
yb,11650
yc,4292
yd,3409
ye,66985
yf,494
yg,541
yh,349
yi,19442
yj,53
yk,77
yl,4138
ym,19377
yn,6339
yo,25429
yp,7131
yq,22
yr,6114
ys,55463
yt,17059
yu,882
yv,127
yw,5577
yx,41
yy,262
yz,207
za,2127
zb,12
zc,10
zd,8
ze,11871
zf,7
zh,232
zi,6629
zj,3
zk,11
zl,349
zm,49
zn,12
zo,1821
zp,35
zq,2
zr,10
zs,33
zt,80
zu,311
zv,4
zw,2
zx,1
zy,5702
zz,2312
